"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"32","11260","4","구묵동교"," ","37.618097","127.0788561"
"33","11545","9"," "," ","37.4850887","126.8724753"
"34","11320","1"," "," ","37.6516853","127.0146341"
"35","11320","3"," "," ","37.6555501","127.0142992"
"36","11320","4"," "," ","37.6608809","127.0507676"
"37","11110","1","동숭교"," ","37.576909","127.0074764"
"1","11545","5","안양천교"," ","37.4577706","126.8909157"
"3","11230","16","교량","(Bridge)","37.5879263","127.0546926"
"7","11110","2","모전교"," ","37.5691118","126.979278"
"10","11110","9","세운교"," ","37.5685905","126.9953388"
"14","11140","4","다산교"," ","37.5698423","127.0158883"
"18","11440","19","상암교"," ","37.5661241","126.8996861"
"24","11740","14"," "," ","37.5570923","127.1718034"
"27","11230","18","이화교","Ihwagyo(Bridge)","37.601418","127.0725158"
"28","11590","4","노량대교"," ","37.5103133","126.9648608"
"30","11590","13","동작대교"," ","37.5103186","126.9816716"
"81","11320","41"," "," ","37.6488475","127.016567"
"82","11230","30","성북천교","Seongbukcheongyo(Bridge)","37.5707523","127.0277327"
"84","11530","6"," "," ","37.499382","126.8302558"
"85","11530","8"," "," ","37.5005161","126.8296814"
"87","11230","15","교량","(Bridge)","37.5867485","127.0470182"
"88","11230","5","용신1교","Yongsin1gyo(Bridge)","37.5748967","127.0279659"
"90","11545","4","독산보도교"," ","37.4555985","126.8924212"
"91","11320","39","계성교"," ","37.6479723","127.0224347"
"92","11230","26","안암제2교","Anamgyo(Bridge)","37.5791877","127.0244388"
"94","11230","24","무학교","Muhakgyo(Bridge)","37.5698072","127.0303087"
"95","11230","25","황학교","Hwanghakgyo(Bridge)","37.5717192","127.0233915"
"96","11320","29","녹천교"," ","37.6456705","127.0558012"
"97","11590","5","노량대교"," ","37.5141853","126.9564566"
"98","11590","8","교량"," ","37.4848783","126.9031003"
"100","11140","18","광통교"," ","37.5690001","126.9810743"
"101","11140","19","모전교"," ","37.5691118","126.979278"
"102","11260","2","면목교"," ","37.5773535","127.0797022"
"104","11260","5","묵동교"," ","37.6171064","127.0758432"
"105","11305","1"," "," ","37.627813","127.0124106"
"38","11305","13","창번교"," ","37.6355104","127.0380009"
"40","11305","12","우이제3교"," ","37.6369055","127.0364756"
"41","11740","2"," "," ","37.5737491","127.1667509"
"43","11230","20","장평교","Jangpyeonggyo(Bridge)","37.5718638","127.0783146"
"45","11590","10","교량"," ","37.5164416","126.9424904"
"46","11140","2","황학교"," ","37.5717192","127.0233915"
"47","11260","1"," "," ","37.5769535","127.0789163"
"49","11305","8","수유교"," ","37.6443229","127.0285845"
"50","11305","11"," "," ","37.6405288","127.0333813"
"51","11440","18","성산2교"," ","37.565639","126.9114541"
"53","11740","8","고덕2교"," ","37.5649883","127.1609289"
"54","11740","12"," "," ","37.5607498","127.1598177"
"55","11230","3","동진교","Dongjingyo(Bridge)","37.5739091","127.0280654"
"57","11230","7","교량","(Bridge)","37.576792","127.0277257"
"58","11230","8","교량","(Bridge)","37.576954","127.0277034"
